Fund Name,Is it Hedge Fund or Private Equity or Neither one,Why you think that?
TRINITUS DIVERSIFIED MAC FD,Hedge Fund,Diversified MAC suggests a hedge fund
MAN AHL DVRSFD TRDNG CO LP,Hedge Fund,AHL is known for hedge fund strategies
EUDORA INVESTMENT F ICAV-A F,Hedge Fund,Investment fund with ICAV structure
RE LOOMIS SAYLES CR DISMS,Neither,Seems like a mutual fund
Lux Im - Algebris Best Ideas Fund,Hedge Fund,Algebris known for hedge fund products
MOORE EMERGING MARKETS FUND,Hedge Fund,Moore Capital is a hedge fund
MAN AHL DVRSFD PCC LTD CLS N,Hedge Fund,AHL is known for hedge fund strategies
SYSTRADAS RKPREM MSTFTD LTD,Neither,Not enough information
CVI CHVF LUX SECURITIES SARL,Private Equity,SARL structure commonly used in PE
DUET MENA OPPRTS MSTR FD LTD,Hedge Fund,Master fund suggests a hedge fund
ATLAS ENHANCED MASTR FD LTD,Hedge Fund,Master fund suggests a hedge fund
TX CAPITAL VALUE FUND,Hedge Fund,"Value fund, typically hedge fund"
MOORE GLOBAL INVESTM,Hedge Fund,Moore Capital is a hedge fund
Cerberus European RDL HDGS,Private Equity,Cerberus is a private equity firm
PARALLAX VLTV ADV-PRLLX MF,Hedge Fund,Volatility strategies are hedge fund
BRIDGEWATER ASSO-BW-M PA 24,Hedge Fund,Bridgewater known for hedge funds
COMPSS MAV LIC,Neither,Not enough information
H2O GBL STG ICAV-BRY ACT VLE,Hedge Fund,H2O known for hedge funds
HTHK-HKC-SPARX JAP ASIA BEST PICK,Hedge Fund,Sparx is known for hedge funds
H2o Am LLP-Toro PRS Tst-Blue,Hedge Fund,H2O known for hedge funds
ESSENCE MNSN CHINA GRWTH FD,Hedge Fund,"Growth fund, typically hedge fund"
TSSP ADJACENT OPP PART LP,Private Equity,TSSP known for private equity
SC GAIA TWO SIGMA DIVRSFD,Hedge Fund,Two Sigma known for hedge funds
EVERBRIGHT CONVERTIBLE OP FD,Hedge Fund,Convertible funds typically hedge funds
Pentire Property Finance Limited,Neither,Not enough information
IMPRINT THMTIC OPP OFF SCSP,Hedge Fund,Thematic opportunities suggest hedge fund
GLOBAL INTEGRITY ALPH FD LTD,Hedge Fund,Alpha fund typically hedge fund
MUNSUN NEW TECHNOLOGY FUND,Hedge Fund,"Technology fund, typically hedge fund"
SIGAV-L-MW S,Hedge Fund,MW (Man Group) known for hedge funds
LONE STAR FUND IX (BERMUDA) L.P.,Private Equity,Lone Star is a private equity firm
LMA IRELAND - MAP 504,Hedge Fund,Map funds typically hedge fund
VALUE PTRNS HIGH DIVI STK FD,Hedge Fund,Value partners known for hedge funds
TENARON CAPITAL MSTR FD,Hedge Fund,Master fund suggests a hedge fund
SPF SECURITIZED PRDCT MAS FD,Hedge Fund,Securitized products typically hedge fund
CITADEL MULTI-STRA EQ SARL,Hedge Fund,Citadel known for hedge funds
PAG LOAN FUND IV LP,Private Equity,Loan fund typically private equity
SPINNAKER GLOBL EMER MART FD,Hedge Fund,Emerging markets typically hedge fund
ALGEBRIS GLOBAL FINANCIALS F,Hedge Fund,Algebris known for hedge funds
BWY - PAMM LP,Hedge Fund,PAMM suggests a hedge fund
GRAT MNG FD C M CS FUD LTD,Hedge Fund,Managed funds typically hedge fund
MUNSUN ABSOLUTE FD,Hedge Fund,Absolute return fund typically hedge fund
BLACKROCK PVEP D FD INV SARL,Private Equity,PVEP suggests private equity
CHESTNUT REC FINANCING LLC,Neither,Not enough information
NAVIK CAPITAL LIMITED,Neither,Not enough information
ASOF HOLDINGS,Private Equity,Holdings suggest private equity
GLOBAL INFR PTE EMG M F LP LP,Private Equity,Infrastructure fund typically private equity
ABC WORLD PTE LTD,Neither,Not enough information
LBLTY AWARE ABS R II N PROF,Hedge Fund,Liability aware suggests hedge fund
MW UCITS-MW SYS ALP UCITS FD,Hedge Fund,UCITS structure but MW is hedge fund
SCHONFELD STRGC ADVS-SIR MF,Hedge Fund,Schonfeld known for hedge funds
BRVN HWRD Emrg MKT S M CP GR(Dnu),Hedge Fund,Brevan Howard known for hedge funds
CRCM INST MASTER FD,Hedge Fund,Master fund suggests a hedge fund
Aviva Inv GLB Ser Ltd Fund V116,Hedge Fund,Global series typically hedge fund
HTHK-VALUE PARTNERS INTELLIGENT FUN,Hedge Fund,Value partners known for hedge funds
F.NISTEREE GLOBAL OPP FUND,Hedge Fund,Opportunity fund typically hedge fund
EK HONG KONG AND CHINA FUND,Hedge Fund,Hong Kong and China fund typically hedge fund
GLOBAL PVT OPP PTRNR II LP,Private Equity,Private opportunities suggest PE
ZZ STRAT LTD,Hedge Fund,Strategies fund typically hedge fund
VERRAZZANO EURO OPM FD,Hedge Fund,Opportunistic fund typically hedge fund
AGNC INVESTMENT CORP,Neither,Publicly traded corporation
SILVERFLEET CAPITAL PARTNERS,Private Equity,Specializes in private equity investments
ADVENT INTL PE ADV SC,Private Equity,A well-known private equity firm
DISCOVERY GLO BECN PTNR LP,Private Equity,Private equity firm
CARLYLE EUROPE REALTY FUND,Private Equity,Private equity real estate fund
SCHRODERS GAIA AVOCA CRED,Hedge Fund,Hedge fund under the Schroders GAIA platform
TUDOR TRADING VII LP,Hedge Fund,Hedge fund managed by Tudor Investment Corp
SOLODA GLOBAL MACRO MASTR FD,Hedge Fund,Hedge fund with a global macro strategy
FOCUS SELECT FUND LTD,Hedge Fund,Hedge fund with a focus on select investments
